observation_date,EXUSEU
2006-10-01,1.2903
2007-01-01,1.3106
2007-04-01,1.3484
2007-07-01,1.3754
2007-10-01,1.4492
2008-01-01,1.5002
2008-04-01,1.5623
2008-07-01,1.5019
2008-10-01,1.3174
2009-01-01,1.3030
2009-04-01,1.3620
2009-07-01,1.4311
2009-10-01,1.4769
2010-01-01,1.3839
2010-04-01,1.2734
2010-07-01,1.2939
2010-10-01,1.3592
2011-01-01,1.3682
2011-04-01,1.4399
2011-07-01,1.4118
2011-10-01,1.3482
2012-01-01,1.3119
2012-04-01,1.2836
2012-07-01,1.2523
2012-10-01,1.2977
2013-01-01,1.3201
2013-04-01,1.3068
2013-07-01,1.3255
2013-10-01,1.3615
2014-01-01,1.3704
2014-04-01,1.3715
2014-07-01,1.3246
2014-10-01,1.2493
2015-01-01,1.1261
2015-04-01,1.1072
2015-07-01,1.1121
2015-10-01,1.0948
2016-01-01,1.1027
2016-04-01,1.1297
2016-07-01,1.1160
2016-10-01,1.0784
